FIPS,State,ProbabilityOfDemWin
1,Alabama,
2,Alaska,
4,Arizona,50
5,Arkansas,
6,California,95
8,Colorado,
9,Connecticut,95
10,Delaware,95
11,District of Columbia,
12,Florida,62
13,Georgia,
15,Hawaii,95
16,Idaho,
17,Illinois,
18,Indiana,50
19,Iowa,
20,Kansas,
21,Kentucky,
22,Louisiana,
23,Maine,85
24,Maryland,95
25,Massachusetts,95
26,Michigan,88
27,Minnesota,70
28,Mississippi,5
29,Missouri,50
30,Montana,73
31,Nebraska,5
32,Nevada,50
33,New Hampshire,
34,New Jersey,88
35,New Mexico,95
36,New York,95
37,North Carolina,
38,North Dakota,67
39,Ohio,75%
40,Oklahoma,
41,Oregon,
42,Pennsylvania,82
44,Rhode Island,95
45,South Carolina,
46,South Dakota,
47,Tennessee,27
48,Texas,8
49,Utah,5
50,Vermont,95
51,Virginia,92
53,Washington,95
54,West Virginia,58
55,Wisconsin,
56,Wyoming,5
